id,sourceId,source,title,company,location,description,url,jobType,minSalary,maxSalary,fetchedAt,createdAt
cmnmda5um01a24q2eheb5zhkm,5660286711,adzuna,Endodontist or Dentist,Porter Dental & Braces - a Benevis company,"Bladensburg, Prince George's County","Overview: This is a part-time endodontic opportunity offering 1-2 clinical days per month, designed to coordinate easily alongside an existing practice or professional commitments. At Benevis, our mission is to expand access to high-quality, affordable dental care for patients in underserved communities. We support providers who want to focus on clinical care while delivering meaningful impact through efficient, well-supported endodontic services. This role is intended for Endodontists and may …",https://www.adzuna.com/land/ad/5660286711?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=765CD35DC4EA67164BD3FAC4EADFA8439C4572D7,part_time,178027,178027,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5ui01a14q2ecgwc75xs,5653392418,adzuna,EMT Basic,AMR,"Bell Fountain, Baldwin County","More Information about this Job: Emergency Medical Technician EMT IMMEDIATELY HIRING! EMT FULL-TIME Opportunity We’re hiring Emergency Medical Technicians (EMTs) that will respond to emergency and non-emergency requests for medical assistance and deliver high-quality care, treatment and customer service to patients. Responsibilities: EMTs provide an assessment of patients, determine necessary care and deliver emergency services by utilizing appropriate medical techniques and equipment. Document…",https://www.adzuna.com/land/ad/5653392418?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=5DE18F790D5154F654254F7CE1F97A8C55368765,full_time,37019,37019,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5ue01a04q2eelm0ofp6,5608396782,adzuna,Registered Nurse RN Emergency Room,Research Medical Center,"Lenexa, Johnson County","We are currently offering a $10,000 sign on bonus for experienced RN's. This bonus is for eligible candidates and cannot be combined with other bonuses or HCA loans/scholarships. Introduction Do you have the career opportunities as a Registered Nurse RN in our Emergency Room you want in your current role? We invest in what matters most to nurses like you – at home, at work, and at every stage in your career. We have an exciting opportunity for you to join Research Medical Center which is a part…",https://www.adzuna.com/land/ad/5608396782?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=520EFB9C2AD946CA248F48EDFAAA33187D91C520,,52156,52156,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5u8019z4q2eclnc4wwx,5474347880,adzuna,Clinical Nurse Coordinator RN Neuro PCU,Research Medical Center,"Lenexa, Johnson County","We are currently offering a $10,000 sign on bonus for experienced RN's. This bonus is for eligible candidates and cannot be combined with other bonuses or HCA loans/scholarships. Introduction Are you looking for a place to deliver excellent care patients deserve? At Research Medical Center we support our colleagues in their positions. Join our Team as a Charge Nurse in Neuro PCU and access programs to assist with every stage of your career. Benefits Research Medical Center, offers a total rewar…",https://www.adzuna.com/land/ad/5474347880?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=0785DD3CDC038F64BEDECF4A871B62E1BF9D5DA3,part_time,22891,22891,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5u4019y4q2en441rjzj,5685202912,adzuna,Tire Technician- $16-$18/hour,Discount Tire,"Grover, Saint Louis County","Overview: Tire Technician – Part-Time – Mid Rivers Discount Tire 5238 N Service Rd Saint Peters, MO 63376 Overview The Tire Technician is the backbone of our success and is the first step in your journey with Discount Tire. Our Tire Technicians repair, install, and maintain tires on cars, trucks, and commercial vehicles. At Discount Tire, we commit to growing our employees and routinely promote from within. Part-Time 100% On Site Pay Range $16-$18 an hour Starting Immediately At a Glance: A Par…",https://www.adzuna.com/land/ad/5685202912?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=39196067F253B92FE9C19948B18F51E40FFE341A,part_time,33280,37440,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tx019x4q2ejdz7yyix,5428715738,adzuna,"House Parents - Relocation to Hershey, PA Required",Milton Hershey School,"West Allis, Milwaukee County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428715738?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=C45B9923B5F5DFEA69DB4CD6DF16715DB6691E62,full_time,71028,71028,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tu019w4q2eiemkpjd0,5580378272,adzuna,"Shop, Deliver, Earn Cash - Instacart",Instacart Shoppers,"Gladstone, Somerset County","FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",https://www.adzuna.com/land/ad/5580378272?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=76D7904A53118A3A2387DD6539D1122EA489E853,part_time,69422,69422,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tq019v4q2etwrem8qu,5663479311,adzuna,Licensed Mental Health Therapist - Remote,Headway,"Lafayette, Lafayette Parish",""" Licensed Mental Health Therapist (LMHT) Wage: Up to $111/hour Licensed Mental Health Therapist — Are you ready to launch or expand your private practice? Headway is here to help you start accepting insurance with ease, increase your earnings with higher rates, and start taking covered clients sooner. It’s all on one free-to-use platform, no commitment required. About you ● You’re a fully-licensed Mental Health Therapist at a Master’s level or above with LMHC, LPCMH, LIMHP, LMFT, LMFTS, LCMFT,…",https://www.adzuna.com/land/ad/5663479311?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=2AB250CC58C07295A5136F7D66DA871A1BE28FE8,,74336,74336,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tm019u4q2esddfqrzw,5687658804,adzuna,Traveling Associate Dentist,Porter Dental & Braces - a Benevis company,"Galena, Kent County","Overview: Work for a company that is truly making the world a happier place, one smile at a time! At Benevis, we create over a million smiles a year in the communities we serve and believe that every person deserves access to quality, affordable dental care. This mission drives everything we do! With over 2000 employees in offices across the country from clinical to support staff - we are united in our mission to create happy, healthy smiles through providing high quality dental care to underse…",https://www.adzuna.com/land/ad/5687658804?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=41E587978A52D02F7875036C267775A4ED367783,full_time,105501,105501,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tg019t4q2efle3j3o1,5683441516,adzuna,Pediatric Urology Faculty,AMN Healthcare,"Fruitport, Muskegon County","Job Description & Requirements Pediatric Urology Faculty StartDate: ASAP Pay Rate: $375000.00 - $400000.00 Join one of the nation's premier Pediatric Urology programs at the University of Michigan, where world-class clinical care meets an extraordinary culture of collaboration, mentorship, and professional growth. The University of Michigan Department of Urology seeks a Board Certified or Board Eligible, fellowship-trained Pediatric Urologist to join our nationally recognized and highly collabo…",https://www.adzuna.com/land/ad/5683441516?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=0B2E18B03E8A3C06312458007CBA3475003F69BD,,63439,63439,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5tb019s4q2e9rpy5jhl,5663478074,adzuna,Licensed Clinical Social Worker - Telehealth,Headway,"Preble, Brown County",""" """" Licensed Clinical Social Worker (LCSW) Wage: Up to $119/hour Licensed Clinical Social Worker — Are you ready to launch or expand your private practice? Headway is here to help you start accepting insurance with ease, increase your earnings with higher rates, and start taking covered clients sooner. It’s all on one free-to-use platform, no commitment required. About you ● You’re a fully-licensed Clinical Social Worker at a Master’s level or above with LCSW, LICSW, or LCSCW licensure (accept…",https://www.adzuna.com/land/ad/5663478074?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=D2EA8B389B65CE6B935915CA6039093666F8AAD0,,91312,91312,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5t6019r4q2exduneavp,5428700699,adzuna,"Houseparents, Full-Time - Relocation to Hershey, PA Required",Milton Hershey School,"Richmond Hill, Bryan County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428700699?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=33FD71DB8614896906605D00F5DC9427A3B6E7AA,full_time,65141,65141,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5t2019q4q2egtpbjb0w,5686010784,adzuna,Physical Therapist - PT,Synchrony Rehab at Wellington House,"Boogertown, Gaston County","Overview: We believe in setting our employees up for success. That’s why we believe in providing an orientation personalized to your work environment. Even when your orientation period ends, you can rest assured that the Synchrony team will always have your back. Responsibilities: Weekly pay, health, dental, and vision benefits after your first month, student loan repayment, a competitive 401(k) match, and more! If you’re looking for a place that embraces you for who you are, helps you achieve …",https://www.adzuna.com/land/ad/5686010784?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=AA65455516E93D6711252F96A147CADB48595C30,,206071,206071,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5sx019p4q2e3eowy32w,5428701677,adzuna,"Houseparents - Relocation to Hershey, PA Required",Milton Hershey School,"Valley View, Cooke County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428701677?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=A0FB26724F2F9F3798F20D877A15D0C92ED7A761,full_time,86561,86561,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5ss019o4q2ef26cggig,5681048788,adzuna,CDL-A Delivery Truck Driver,"Mclane Company, Inc.","Kenney, De Witt County","Take your CDL-A career further in Taylorville Illinois! Our drivers work hard to move, supply, and provide for America's favorite brands. Being reliable and dedicated to safety has defined our success as an industry leader for 130 years. Join McLane and discover the driving difference-we provide you with industry-leading pay, strong and secure client relationships, and get you home safely and more often. That's why our drivers build long-lasting careers with us. Benefits you can count on: Pay R…",https://www.adzuna.com/land/ad/5681048788?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=EC3C6EE766E4171D957D856FC0D984412A599FA7,full_time,76108,76108,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5sn019n4q2eoljn90tl,5679354338,adzuna,Class A CDL Owner Operator - 1yr EXP Required - OTR - $2.5k - $5.5k per week - UACL Logistics,UACL Logistics,"Skyland, Tuscaloosa County","UACL Logistics is Seeking Experienced CDL-A Owner Operators. Owner Operator CDL-A Driver – UACL Logistics Up to 75% Linehaul Pay • $5,000 Sign-On Bonus Company Overview UACL Logistics is a leader in the transportation and logistics industry, dedicated to empowering owner operators with the tools, resources, and support needed to grow their business. With a strong national network, advanced technology platforms, and comprehensive administrative and operations support, we help drivers stay effici…",https://www.adzuna.com/land/ad/5679354338?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=498E580BD5B09BB2FAA6168C8C0645D9B6FF622A,full_time,130000,286000,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5si019m4q2es208nqg0,5428713040,adzuna,"Youth Development Specialist - Relocation to Hershey, PA Required",Milton Hershey School,"Mercer, Mercer County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428713040?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=E0AA5E7C2A1615304CCD1F61A660B286DC54AE15,full_time,77578,77578,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5sd019l4q2eihpd40wn,5670955683,adzuna,Registered Nurse IMC PRN,St. David's Round Rock Medical Center,"Brushy Creek, Williamson County","Introduction Do you have the career opportunities as a Registered Nurse IMC PRN you want in your current role? We invest in what matters most to nurses like you – at home, at work, and at every stage in your career. We have an exciting opportunity for you to join St. David's Round Rock Medical Center which is a part of the nation’s leading provider of healthcare services, HCA Healthcare. Do you want to work where you have a voice? Nurses are at the forefront of our commitment to the care and im…",https://www.adzuna.com/land/ad/5670955683?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=25F110083BA2ABC7BC0AAD77F185D4500923670C,,39465,39465,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5sb019k4q2eve7z1emd,5671696069,adzuna,Shift Manager - Urgently Hiring,Dunkin/Baskin - Marshfield,"Spencer, Marathon County","Dunkin/Baskin - Marshfield is currently looking for a full time or part time Shift Manager to join our team in Marshfield, WI. Shift Managers keep day to day operations running smoothly by leading their teams to success. A successful Shift Manager will keep everything running smoothly and roll up their sleeves to join their team when needed. Requirements: Managers lead shifts every week, making sure customers get a fast, accurate, friendly experience every visit. A Shift Manager provides leader…",https://www.adzuna.com/land/ad/5671696069?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=695934FA4D40E96063E7EF96C596798DD3A7C023,,44922,44922,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5s5019j4q2ebdkhauqy,5645870624,adzuna,Licensed Mental Health Therapist (Virtual),Headway,"Topeka, Shawnee County",""" Licensed Mental Health Therapist (LMHT) Wage: Between $120-$131 an hour Licensed Mental Health Therapist — Are you ready to launch or expand your private practice? Headway is here to help you start accepting insurance with ease, increase your earnings with higher rates, and start taking covered clients sooner. It’s all on one free-to-use platform, no commitment required. About you ● You’re a fully-licensed Mental Health Therapist at a Master’s level or above with LMHC, LPCMH, LIMHP, LMFT, LMF…",https://www.adzuna.com/land/ad/5645870624?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=2B09D20CC8E63F532B104CD5C7A2E2618AD6F043,,68978,68978,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5s1019i4q2eltrn0ufo,5580378451,adzuna,Instacart Shopper - Delivery Driver,Instacart Shoppers,"Hillside, Union County","FULL-SERVICE SHOPPER Start earning quickly with a flexible schedule Shopping with Instacart is more than grocery delivery. Shoppers help make our world go round. They make money, make moves, and make shopping lists come true. They make good time, make life easier, and make people’s day. Shoppers make it all happen—sign up now to help create a world where everyone has access to the food they love. As a full-service shopper, you’ll receive orders through the Shopper app to shop from stores in you…",https://www.adzuna.com/land/ad/5580378451?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=3D4C984657739E72995F0F58ED923E9AB28E0CDF,part_time,81745,81745,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5rv019h4q2emrt781ip,5615577512,adzuna,Clin Nurse Coord,Wesley Medical Center,"Wichita, Sedgwick County","Introduction Experience the HCA Healthcare difference where colleagues are trusted, valued members of our healthcare team. Grow your career with an organization committed to delivering respectful, compassionate care, and where the unique and intrinsic worth of each individual is recognized. Submit your application for the opportunity below:Clin Nurse CoordWesley Medical Center Benefits Wesley Medical Center offers a total rewards package that supports the health, life, career and retirement of …",https://www.adzuna.com/land/ad/5615577512?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=05DDAA960978BCE5BCC022E855B11F0B97E8D612,part_time,58013,58013,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5rq019g4q2erjq74vfj,5684633195,adzuna,Pharmacy Technician,Meijer,"Cheboygan, Cheboygan County","As a family company, we serve people and communities. When you work at Meijer, you’re provided with career and community opportunities centered around leadership, personal growth and development. Consider joining our family – take care of your career and your community! Meijer Rewards Weekly pay Scheduling flexibility Paid parental leave Paid education assistance Team member discount Development programs for advancement and career growth Please review the job profile below and apply today! The …",https://www.adzuna.com/land/ad/5684633195?se=PvB5i0Mx8RGrBZNbY5I0fA&utm_medium=api&utm_source=62d5d149&v=DDCE1F7509B86CB368137692A97AE8B1ADFC83D8,part_time,40647,40647,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
